ZONA,PARTIDO,ORDEN N°,PLAZO,EXPEDIENTE,EMPRESA,CAUCE,SITIO A INTERVENIR,COORDENADA DE INICIO,COORDENADAS DE FINALIZACIÓN,COORDENADAS POLARES INICIO,COORDENADAS POLARES FINAL,METROS,TIPO DE CAUCE,MAPS,IFRAME,FICHA,F. INICIO,F. FINAL,ESTADO,RETROEXCAVADORA CON BRAZO LARGO,RETROEXCAVADORA CON BRAZO CORTO,RETROEXCAVADORA CON TRITURADORA FLORESTAL,PALA CARGADORA FRONTAL,RETROPALA,EXCAVADORA TIPO ARAÑA EXTENSIBLE,RETROEXCAVADORA ANFIBIA,TOPADORA,MOTONIVELADORA,CAMIÓN TATU,TOTAL HORAS,VALOR LAR,VALOR COR,VALOR FOR,VALOR CAR,VALOR RET,VALOR ARA,VALOR ANF,VALOR TOP,VALOR MOT,VALOR CAM,INVERSIÓN PROGRAMADA
Zona 3,9 de Julio,3,40,EX-2025-33760678- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Defensa en la localidad La Niña y en la localidad de French,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=1FucvJGKOJV944xJ8focrmy8XizZrnaA&usp=sharing,https://www.google.com/maps/d/embed?mid=1FucvJGKOJV944xJ8focrmy8XizZrnaA&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1srG04r8J3nyVL05192_ZHEMreixpqxqa/view?usp=drive_link,10/10/2025,19/11/2025,En ejecución,30,190,,,24,,,10,24,34,312,"$5.051.656,50","$30.857.805,00",,,"$2.701.629,12",,,"$1.684.284,20","$3.474.347,76","$4.153.470,26","$47.923.192,84"
Zona 3,General Viamonte,3,40,EX-2025-33760678- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Canales existentes en el partido de General Viamonte,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=1KOEe1ivc3AbLpggzYmlVRbk6uQjnW6Q&usp=sharing,https://www.google.com/maps/d/embed?mid=1KOEe1ivc3AbLpggzYmlVRbk6uQjnW6Q&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1By--wnJ6UtD-CWlVU6DfzSnSuEFkZYng/view?usp=drive_link,10/10/2025,19/11/2025,En ejecución,30,190,,,24,,,10,24,34,312,"$5.051.656,50","$30.857.805,00",,,"$2.701.629,12",,,"$1.684.284,20","$3.474.347,76","$4.153.470,26","$47.923.192,84"
Zona 3,Alberti,3,40,EX-2025-33760678- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Canales existentes en desagües rurales,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=14QzmYIOg5IkdFAb-6JhsZS90HDGvMuw&usp=sharing,https://www.google.com/maps/d/embed?mid=14QzmYIOg5IkdFAb-6JhsZS90HDGvMuw&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1L5K1D6S1dZr5eTN4AiCGMDnmqEl3ynkK/view?usp=drive_link,10/10/2025,19/11/2025,En ejecución,30,190,,,24,,,10,24,34,312,"$5.051.656,50","$30.857.805,00",,,"$2.701.629,12",,,"$1.684.284,20","$3.474.347,76","$4.153.470,26","$47.923.192,84"
Zona 4,Tapalqué,1,25,EX-2025-23520817- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal de defensa intermedia de la Planta Urbana,Desde el Arroyo Tapalque y Avda Circunvalacion hasta Circunv. P. Ramos y Ruta 51,"-36.371931, -60.031469","-36.362017, -60.007767","36°22'19.0""S 60°01'53.3""W","36°21'43.3""S 60°00'28.0""W",3750,Otro,https://www.google.com/maps/d/edit?mid=1dWk_KV2JkiSve2_dJNO9BbjUq-CpAfw&usp=sharing,https://www.google.com/maps/d/embed?mid=1dWk_KV2JkiSve2_dJNO9BbjUq-CpAfw&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1WIARBQSwR82senGuRsD0BYiCuwUYLP6A/view?usp=drive_link,31/7/2025,25/8/2025,Finalizado,,360,,,,,,100,,100,560,"$0,00","$58.421.347,20",,"$0,00","$0,00",,,"$19.515.165,00","$0,00","$18.259.317,00","$96.195.829,20"
Zona 4,Saladillo,2,50,EX-2025-27314067- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal Roight,"Desde la calle Roight y Ledesma, hasta la bifurcación del canal","-35.630686, -59.752403","-35.623214, -59.712122","35°37'50.47""S 59°45'8.65""W","35°37'23.57""S 59°42'43.64""W",5150,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1L08prWnU_diqbneBouXj7I2pb91KJY4&usp=sharing,https://www.google.com/maps/d/embed?mid=1L08prWnU_diqbneBouXj7I2pb91KJY4&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1Kfq19dvHwhu6tYCQ55-SsAVCAk4HxoM1/view?usp=drive_link,23/9/2025,11/11/2025,Finalizado,,200,,20,,,,,,20,240,"$0,00","$32.456.304,00",,"$2.557.967,20","$0,00",,,"$0,00","$0,00","$3.651.863,40","$38.666.134,60"
Zona 4,Roque Pérez,2,50,EX-2025-27314067- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal en inmediaciones del casco urbano de Roque Pérez - etapa 1,Desde su progresiva 0 en el Río Salado hasta su progresiva 8000,"-35.492014, -59.483863","-35.449615, -59.410617","35°29'31.3""S 59°29'01.9""W","35°26'58.6""S 59°24'38.2""W",8000,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1z8Fh1fAnBb9JJFsAk5sBaMUwg04A748&usp=sharing,https://www.google.com/maps/d/embed?mid=1z8Fh1fAnBb9JJFsAk5sBaMUwg04A748&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1OiI6YwRpvkHHUSMEcQtURbG6o4bJK50z/view?usp=drive_link,23/9/2025,11/11/2025,Finalizado,,240,,25,,,,,88,25,378,"$0,00","$38.947.564,80",,"$3.197.459,00","$0,00",,,"$0,00","$13.050.923,60","$4.564.829,25","$59.760.776,65"
Zona 4,25 de Mayo,3,45,EX-2025-34982525- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal Santo Unzué,Desde el Cno. Prov. 109 01 / Acceso a Agustin Mosconi hasta el inicio de la parcela con denominación catastral XI1649 G,"-35.806560, -60.664755","-35.788248, -60.724892","35°48'23.6""S 60°39'53.1""W","35°47'17.7""S 60°43'29.6""W",7000,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1jYZD8Tbi5FRXVnj4pN4dPIcqkMR8ekU&usp=sharing,https://www.google.com/maps/d/embed?mid=1jYZD8Tbi5FRXVnj4pN4dPIcqkMR8ekU&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1_FHFun0eDHk572_IVGMXKU2-gThm2y-v/view?usp=drive_link,En trámite,En trámite,Planificado,80,,,100,100,,,,60,55,395,"$15.023.405,60","$0,00",,"$12.789.836,00","$9.245.923,00",,,"$0,00","$8.898.357,00","$10.042.624,35","$56.000.145,95"
Zona 4,25 de Mayo,3,45,EX-2025-34982525- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Hidrovia Camino del Valle - Hutel,"Desde el Cno. Prov. 109 01 / Acceso a Del Valle hasta 7000 metrso hacia aguas arriba, Al comienza de la parcela con denominación catastral XII 1653 Z","-35.892397, -60.728167","-35.843560, -60.789742","35°53'32.6""S 60°43'41.4""W","35°50'36.8""S 60°47'23.1""W",7000,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1LqWAi90aDBKe1Xx1YdtDbX9WEF_1tIQ&usp=sharing,https://www.google.com/maps/d/embed?mid=1LqWAi90aDBKe1Xx1YdtDbX9WEF_1tIQ&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1-JlZoxaN5ErahxiM27mA1-cUmxlJHPQO/view?usp=drive_link,En trámite,En trámite,Planificado,100,,,100,100,,,,80,100,480,"$18.779.257,00","$0,00",,"$12.789.836,00","$9.245.923,00",,,"$0,00","$11.864.476,00","$18.259.317,00","$70.938.809,00"
Zona 4,25 de Mayo,3,45,EX-2025-34982525- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Hidrovia Camino del Valle - Ruta Provincial N° 65,"Desde su confluencia con la Hidrovia Camino del Valle - Hutel en los límites de la parcela con denominación Catastral XII 1655 C, hacia el partido de 9 de Julio en el inicio de la parcela con denominación catastral XIV 1990 A","-35.843560, -60.789742","-35.777467, -60.827012","35°50'36.8""S 60°47'23.1""W","35°46'38.9""S 60°49'37.2""W",10000,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1PxSZrsW-DK3PqPemCMJXiuZkp5oYViQ&usp=sharing,https://www.google.com/maps/d/embed?mid=1PxSZrsW-DK3PqPemCMJXiuZkp5oYViQ&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1w825pv5QpQm_ofoeBeU-RpSiQcf03Qk3/view?usp=drive_link,En trámite,En trámite,Planificado,100,,,100,100,,,,80,100,480,"$18.779.257,00","$0,00",,"$12.789.836,00","$9.245.923,00",,,"$0,00","$11.864.476,00","$18.259.317,00","$70.938.809,00"
Zona 5,Olavarría,1,25,EX-2025-23518811- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Arroyo Tapalqué,Tramo 1: entre Ignacio Rivas y Juán XXIII; tramo 2: entre Merlo y Mitre; tramo 3: entre Irigoyen y Colón,"-36.856750, -60.287861","-36.886500, -60.321111","36°51'24.3""S 60°17'16.3""W","36°53'11.4""S 60°19'16.0""W",4210,Arroyo,https://www.google.com/maps/d/edit?mid=1ScjN1TLt6iTt2V9ZgN3YP4GPc8s_AQo&usp=sharing,https://www.google.com/maps/d/embed?mid=1ScjN1TLt6iTt2V9ZgN3YP4GPc8s_AQo&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1iRuZhIJtdhCkkm5No_F7maYs_j_BdHjR/view?usp=drive_link,31/7/2025,25/8/2025,Finalizado,,157,275,,,,,,,80,512,"$0,00","$23.236.000,00","$40.700.000,00","$0,00",,,,"$0,00","$0,00","$8.320.000,00","$72.256.000,00"
Zona 5,Laprida,1,25,EX-2025-23518811- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Desagües pluviales de la localidad de San Jorge,Curso de agua desde el pueblo hacia un cañadón natural que desemboca en el Arroyo Quilcó,"-37.215389, -60.945639","-37.231972, -60.958250","37°12'55.4""S 60°56'44.3""W","37°13'55.1""S 60°57'29.7""W",2600,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1nh_0sxjgXgLZ_zt4mIdJPXLZc3Cft34&usp=sharing,https://www.google.com/maps/d/embed?mid=1nh_0sxjgXgLZ_zt4mIdJPXLZc3Cft34&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1rcYQwTFk6t7cJGEbtk5odXtGFFP1rCYZ/view?usp=drive_link,31/7/2025,25/8/2025,Finalizado,,57,,33,,,,,43,,133,"$0,00","$8.436.000,00","$0,00","$3.894.000,00",,,,"$0,00","$7.000.400,00","$0,00","$19.330.400,00"
Zona 5,Balcarce,2,40,EX-2025-27314034- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal prolongación de calle 112,Desde el arroyo Pantanoso y calle 107 hasta calle 112 y 9,"-37.821639, -58.264139","-37.831306, -58.266944","37°49'17.9""S 58°15'50.9""W","37°49'52.7""S 58°16'01.0""W",1530,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1YsCyj8TRbhLvoADVCzlH4WUIcezT8x0&usp=sharing,https://www.google.com/maps/d/embed?mid=1YsCyj8TRbhLvoADVCzlH4WUIcezT8x0&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1qU1j7QypiYOiGwyQvjVbRFMhTn2z4uQ3/view?usp=drive_link,23/9/2025,31/10/2025,Finalizado,,375,,70,,,,,50,30,525,"$0,00","$55.500.000,00","$0,00","$8.260.000,00",,,,"$0,00","$8.140.000,00","$3.120.000,00","$75.020.000,00"
Zona 5,Tandil,2,40,EX-2025-27314034- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal de parque industrial,Desde su entubamiento en calle base aerea hasta la RPN30,"-37.294722, -59.192139","-37.299111, -59.185361","37°17'41.0""S 59°11'31.7""W","37°17'56.8""S 59°11'07.3""W",910,Canal sin revestir,https://www.google.com/maps/d/edit?mid=11ZKjHgJLw2-bwISA9o24riBtvoH1mD8&usp=sharing,https://www.google.com/maps/d/embed?mid=11ZKjHgJLw2-bwISA9o24riBtvoH1mD8&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/13kfaHIrzR1Y3FZ6X1VwOhjjGaPC3tcn8/view?usp=drive_link,23/9/2025,31/10/2025,Finalizado,,85,,25,,,,,20,20,150,"$0,00","$12.580.000,00","$0,00","$2.950.000,00",,,,"$0,00","$3.256.000,00","$2.080.000,00","$20.866.000,00"
Zona 5,Tandil,2,40,EX-2025-27314034- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Canal ingreso al arroyo La Cascada,Desde su desembocadura en el Arroyo la Casacada hasta Av. Don Bosco,"-37.354028, -59.124667","-37.356022, -59.127140","37°21'14.5""S 59°07'28.8""W","37°22'01.4""S 59°06'47.8""W",300,Canal sin revestir,https://www.google.com/maps/d/edit?mid=10NeYkKoBhrv3yXLVV0F7181OuV-1WEw&usp=sharing,https://www.google.com/maps/d/embed?mid=10NeYkKoBhrv3yXLVV0F7181OuV-1WEw&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1_L-Wh5EFiN_SOUCzdblcqg6iTK_szCh8/view?usp=drive_link,23/9/2025,31/10/2025,Finalizado,,20,75,,,,,,,,95,"$0,00","$2.960.000,00","$11.100.000,00","$0,00",,,,"$0,00","$0,00","$0,00","$14.060.000,00"
Zona 5,Tandil,2,40,EX-2025-27314034- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Arroyo Langueyú,Desde 200 metros hacia aguas abajo de la Ruta Nacional N° 226 hasta la calle Dinamarca,"-37.296972, -59.130750","-37.299417, -59.130889","37°17'49.1""S 59°07'50.7""W","37°17'57.9""S 59°07'51.2""W",300,Arroyo,https://www.google.com/maps/d/edit?mid=1NMeeHcEYl8d85ky7Jx1z_4iJ3K5nbcc&usp=sharing,https://www.google.com/maps/d/embed?mid=1NMeeHcEYl8d85ky7Jx1z_4iJ3K5nbcc&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1HZu4CRK8aj1j0Ib0GkpaU6idfye8zfrN/view?usp=drive_link,23/9/2025,31/10/2025,Finalizado,,20,,,,,,,,20,40,"$0,00","$2.960.000,00","$0,00","$0,00",,,,"$0,00","$0,00","$2.080.000,00","$5.040.000,00"
Zona 5,General Pueyrredón,3,60,EX-2025-34982586- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Arroyo La Tapera,Desde la desembocadura en el Parque Camet hasta Av. M. Gandhi,"-37.942377, -57.538277","-37.943627, -57.557915","37°56'32.6""S 57°32'17.8""W","37°56'37.1""S 57°33'28.5""W",2500,Arroyo,https://www.google.com/maps/d/edit?mid=1HF297m0YRvg0tCOgqzjyvXEFSO49N2s&usp=sharing,https://www.google.com/maps/d/embed?mid=1HF297m0YRvg0tCOgqzjyvXEFSO49N2s&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1GD-BPkbNbaJ-Q9bXvxdeGS-BfzfmvQaH/view?usp=drive_link,En trámite,En trámite,Planificado,100,61,200,,,,,25,,,386,"$15.400.000,00","$9.028.000,00","$29.600.000,00","$0,00",,,,"$4.366.000,00","$0,00","$0,00","$58.394.000,00"
Zona 5,General Pueyrredón,3,60,EX-2025-34982586- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,Brazo del Arroyo Lobería,Desde su desembocadura en Arroyo Lobería hasta la Av. de los Pescadores,"-38.160722, -57.639455","-38.149766, -57.636337","38°09'38.6""S 57°38'22.0""W","38°08'59.2""S 57°38'10.8""W",1240,Arroyo,https://www.google.com/maps/d/edit?mid=1ospBsGnQylTqORkFpa8E1V_uRv9tgz0&usp=sharing,https://www.google.com/maps/d/embed?mid=1ospBsGnQylTqORkFpa8E1V_uRv9tgz0&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1NC1zKINObQkyTjAThN9h9UIe5k7wPZfw/view?usp=drive_link,En trámite,En trámite,Planificado,50,165,,25,,,,50,,,290,"$7.700.000,00","$24.420.000,00","$0,00","$2.950.000,00",,,,"$8.732.000,00","$0,00","$0,00","$43.802.000,00"
Zona 5,Azul,3,60,EX-2025-34982586- -GDEBA-DPTLMIYSPGP,Gerónimo Rizzo S.A.,a definir,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=1BvzsjH6dr4ji76ZhvuOpjHtt81I--io&usp=sharing,https://www.google.com/maps/d/embed?mid=1BvzsjH6dr4ji76ZhvuOpjHtt81I--io&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1pDeeN2KZeX3Yq2hhcy8wM0cQh6d22P_h/view?usp=drive_link,En trámite,En trámite,En análisis,,35,350,35,,,,,,,420,"$0,00","$5.180.000,00","$51.800.000,00","$4.130.000,00",,,,"$0,00","$0,00","$0,00","$61.110.000,00"
Zona 6,General Lamadrid,1,20,EX-2025-23233503- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,Canal de Guarda - Margen Norte,Margen norte desde su desembocadura en el Arroyo hasta el Acceso a Pontaut Camino Secundario 040-01,"-37.746664, -61.315106","-37.738636, -61.325100","37°44'48.0""S 61°18'54.4""W","37°44'19.1""S 61°19'30.4""W",1250,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1SpCZi9bjxYAiuzFWVdTXBeQjPn5ruz0&usp=sharing,https://www.google.com/maps/d/embed?mid=1PMMS8YmZSTRcFoR90ipsjkZq29tjIwI&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/13KrH0TrL4mnp_EHBL3oX0bp53RvjGTUb/view?usp=drive_link,2/8/2025,22/8/2025,Finalizado,100,,,60,,,,,,,160,"$26.134.700,00","$0,00",,"$11.065.020,00","$0,00",,,"$0,00","$0,00","$0,00","$37.199.720,00"
Zona 6,General Lamadrid,1,20,EX-2025-23233503- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,Canal de Guarda - Margen Sur,Margen sur desde su desembocadur aen el Arroyo hasta el Acceso a Pontaut Camino Secundario 040-01,"-37.746758, -61.315289","-37.738817, -61.325175","37°44'48.3""S 61°18'55.0""W","37°44'19.7""S 61°19'30.6""W",1250,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1VSdVXlBlTwvCAGB_5EvPnGkT41Oaqqg&usp=sharing,https://www.google.com/maps/d/embed?mid=1PMMS8YmZSTRcFoR90ipsjkZq29tjIwI&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/18x9XZOcpcFYGRdDHz3bPbRzPIDL8jazr/view?usp=drive_link,2/8/2025,22/8/2025,Finalizado,100,,,60,,,,,,,160,"$26.134.700,00","$0,00",,"$11.065.020,00","$0,00",,,"$0,00","$0,00","$0,00","$37.199.720,00"
Zona 6,General Lamadrid,1,20,EX-2025-23233503- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,Canal de Guarda Noroeste,Desde el préstamo del Ferrocarril General Roca hasta Calle Vecinal,"-37.719022, -61.322294","-37.731364, -61.334433","37°43'08.5""S 61°19'20.3""W","37°43'52.9""S 61°20'04.0""W",1800,Canal sin revestir,https://www.google.com/maps/d/edit?mid=19JyOCgklXO2dLytzCxqNXheQdTwSG_Y&usp=sharing,https://www.google.com/maps/d/embed?mid=19JyOCgklXO2dLytzCxqNXheQdTwSG_Y&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1d8qlPk206LGVVX4wiCDv2cgL_I-zZYvz/view?usp=drive_link,2/8/2025,22/8/2025,Finalizado,,100,,,20,,,,,,120,"$0,00","$20.192.200,00",,"$0,00","$3.943.760,00",,,"$0,00","$0,00","$0,00","$24.135.960,00"
Zona 6,Coronel Pringles,2,40,EX-2025-27313996- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,Arroyo Pillahuinco Grande,Desde la Ruta Provincial N° 51 hasta Acceso calle 36,"-37.991908, -61.328286","-38.001825, -61.359706","37°59'30.9""S 61°19'41.8""W","38°00'06.6""S 61°21'34.9""W",3800,Arroyo,https://www.google.com/maps/d/edit?mid=1eVggdTB5UMnhzusAGzocZe_m3nQoIEE&usp=sharing,https://www.google.com/maps/d/embed?mid=1eVggdTB5UMnhzusAGzocZe_m3nQoIEE&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1RKuZWKhE5UyAkmhh77onmJd2IxTF6wO6/view?usp=drive_link,11/9/2025,20/10/2025,Finalizado,90,240,,50,,,,50,,50,480,"$23.521.230,00","$48.461.280,00",,"$9.220.850,00","$0,00",,,"$10.987.000,00","$0,00","$8.563.400,00","$100.753.760,00"
Zona 6,Coronel Pringles,3,40,EX-2025-34984387- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,a definir,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=1cm_GxMKZYTmBDlQoqmO2iNIiPZ1_Sqc&usp=sharing,https://www.google.com/maps/d/embed?mid=1cm_GxMKZYTmBDlQoqmO2iNIiPZ1_Sqc&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1skWw4CXD4zehJvOalPp5bJLhVZ0Omgdk/view?usp=drive_link,24/10/2025,3/12/2025,En ejecución,,150,,45,,,,,70,30,295,"$0,00","$30.288.300,00",,"$8.298.765,00","$0,00",,,"$0,00","$16.296.140,00","$5.138.040,00","$60.021.245,00"
Zona 6,Saavedra,3,40,EX-2025-34984387- -GDEBA-DPTLMIYSPGP,Lurovial S.R.L.,a definir,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=17qMxlv_r7l4c5jsLX0hnNJVp35q_c5s&usp=sharing,https://www.google.com/maps/d/embed?mid=17qMxlv_r7l4c5jsLX0hnNJVp35q_c5s&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1mpw0OVT7MSCmTf0-SovFilQLDu_p5Uku/view?usp=drive_link,24/10/2025,3/12/2025,En ejecución,,250,,,,,,30,,45,325,"$0,00","$50.480.500,00",,"$0,00","$0,00",,,"$6.592.200,00","$0,00","$7.707.060,00","$64.779.760,00"
Zona 7,Rivadavia,1,30,EX-2025-23520691- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal Los Áromos,Paralelo a calle De los Áramos desde Acceso Lito Rodriguez Nte. 730 metros hacia el sur,"-35.495556, -62.994167","-35.490000, -62.997722","35°29'44.0""S 62°59'39.0""W","35°29'24.0""S 62°59'51.8""W",730,Zanja / Zanjón,https://www.google.com/maps/d/edit?mid=1i-dlOgV_tCsldh5cOimXUxrIboYAsXc&usp=sharing,https://www.google.com/maps/d/embed?mid=1i-dlOgV_tCsldh5cOimXUxrIboYAsXc&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/13NnHczcCvv1EDeyDr2tI1eGEKSHs0vCl/view?usp=drive_link,5/8/2025,5/9/2025,Finalizado,,40,,,,,,,,,40,"$0,00","$6.306.328,80",,,"$0,00",,,"$0,00","$0,00","$0,00","$6.306.328,80"
Zona 7,Rivadavia,1,30,EX-2025-23520691- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal J. D. Perón - J. Gemesio,Desde J. D. Perón y P° del Inmigrantes hasta  J. Gemesio y N. F. Tiscornia,"-35.483194, -62.964944","-35.483056, -62.980250","35°28'59.5""S 62°57'53.8""W","35°28'59.0""S 62°58'48.9""W",1740,Zanja / Zanjón,https://www.google.com/maps/d/edit?mid=1jf2xOcapT4qJca20JKWvc685v71KYhs&usp=sharing,https://www.google.com/maps/d/embed?mid=1jf2xOcapT4qJca20JKWvc685v71KYhs&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1KgzG32l_a-bjVCy-nPIj89JHcrVwDg5f/view?usp=drive_link,5/8/2025,5/9/2025,Finalizado,,195,,,50,,,,,65,310,"$0,00","$30.743.352,90",,,"$4.622.961,50",,,"$0,00","$0,00","$11.868.556,05","$47.234.870,45"
Zona 7,Rivadavia,1,30,EX-2025-23520691- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal J. D. Perón - Italia,Desde su desembocadura en el canal principal paraleloa a J. D. Perón hasta Italia y H. Nieto,"-35.493056, -62.953056","-35.490000, -62.961667","35°29'35.0""S 62°57'11.0""W","35°29'24.0""S 62°57'42.0""W",970,Zanja / Zanjón,https://www.google.com/maps/d/edit?mid=1f2-NeU4O6K891yVc5qpFhjbnrm2a7Lg&usp=sharing,https://www.google.com/maps/d/embed?mid=1f2-NeU4O6K891yVc5qpFhjbnrm2a7Lg&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1SgwtgBwDC0bMMY9JHS5inf0mOSeiczhR/view?usp=drive_link,5/8/2025,5/9/2025,Finalizado,,52,,,,,,,,,52,"$0,00","$8.198.227,44",,,"$0,00",,,"$0,00","$0,00","$0,00","$8.198.227,44"
Zona 7,Florentino Ameghino,1,30,EX-2025-23520691- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal de Desagües,Desde el antiguo camino a la Localidad de Blaquier (de tierra) hasta las vías del ferrocarril D.F. Sarmiento,"-34.808333, -62.484444","-34.852936, -62.479986","34°48'30.0""S 62°29'04.0""W","34°51'10.6""S 62°28'48.0""W",5200,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1DwHf5SCEwn-TU2ooXHfZsnMTKSB-nU0&usp=sharing,https://www.google.com/maps/d/embed?mid=1DwHf5SCEwn-TU2ooXHfZsnMTKSB-nU0&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1w5nQkwPAwrhzBcgrWvbATA6O1EcbvIM9/view?usp=drive_link,5/8/2025,5/9/2025,Finalizado,221,,,,,,,,,,221,"$41.502.157,97","$0,00",,,"$0,00",,,"$0,00","$0,00","$0,00","$41.502.157,97"
Zona 7,Carlos Casares,2,45,EX-2025-27314051- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Canal en zona Sur,Desde Km. 306 hasta Km 314,"-35.618250, -61.285111","-35.642852, -61.366684","35°37'05.7""S 61°17'06.4""W","35°38'48.3""S 61°22'34.6""W",8000,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1wOPF-0q-5DF0iWEwSbYlXjWk-bzh5-0&usp=sharing,https://www.google.com/maps/d/embed?mid=1wOPF-0q-5DF0iWEwSbYlXjWk-bzh5-0&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1Y-kOVUk885w0gOG-zeP_r7RfxgUmqNc5/view?usp=drive_link,23/9/2025,6/11/2025,Finalizado,300,,,,,,,,,,300,"$56.337.771,00","$0,00",,,"$0,00",,,"$0,00","$0,00","$0,00","$56.337.771,00"
Zona 7,Pellegrini,2,45,EX-2025-27314051- -GDEBA-DPTLMIYSPGP,Marcalba S.A.,Desagües Pluviales,En cercanías de la Localidad de Bocayuba (al oeste) hasta 460 mts. de última calle del Casco Urbano,"-36.212222, -63.083611","-36.260303, -63.146019","36°12'44.0""S 63°05'01.0""W","36°15'37.1""S 63°08'45.7""W",7770,Canal sin revestir,https://www.google.com/maps/d/edit?mid=14x2osyfW13rXo8P03u0ob7uiMkSp-cs&usp=sharing,https://www.google.com/maps/d/embed?mid=14x2osyfW13rXo8P03u0ob7uiMkSp-cs&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1QDHnTCxhhVgRJ3lYO1LpRr0jAKrnj2t3/view?usp=drive_link,23/9/2025,6/11/2025,Finalizado,,438,,,,,,,,,438,"$0,00","$69.054.300,36",,,"$0,00",,,"$0,00","$0,00","$0,00","$69.054.300,36"
