ZONA,PARTIDO,ORDEN N°,PLAZO,EXPEDIENTE,EMPRESA,CAUCE,SITIO A INTERVENIR,COORDENADA DE INICIO,COORDENADAS DE FINALIZACIÓN,COORDENADAS POLARES INICIO,COORDENADAS POLARES FINAL,METROS,TIPO DE CAUCE,MAPS,IFRAME,FICHA,F. INICIO,F. FINAL,ESTADO,RETROEXCAVADORA CON BRAZO LARGO,RETROEXCAVADORA CON BRAZO CORTO,RETROEXCAVADORA CON TRITURADORA FLORESTAL,PALA CARGADORA FRONTAL,RETROPALA,EXCAVADORA TIPO ARAÑA EXTENSIBLE,RETROEXCAVADORA ANFIBIA,TOPADORA,MOTONIVELADORA,CAMIÓN TATU,TOTAL HORAS,VALOR LAR,VALOR COR,VALOR FOR,VALOR CAR,VALOR RET,VALOR ARA,VALOR ANF,VALOR TOP,VALOR MOT,VALOR CAM,INVERSIÓN PROGRAMADA
Zona 2 (sur),Berisso,3,35,EX-2025-34979238- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Desagüe del Barrio El Progreso,Desde su desembocadura en el Canal Sur paralelo a Av. Río de La Plata hasta su entubamiento en Calle 18 y 126,"-34.905626, -57.904099","-34.915618, -57.905817","34°54'20.3""S 57°54'14.8""W","34°54'56.2""S 57°54'20.9""W",1140,Zanja / Zanjón,https://www.google.com/maps/d/edit?mid=1k1TGGRXF23eLIwIt04hjwXyl1w-0AWk&usp=sharing,https://www.google.com/maps/d/embed?mid=1k1TGGRXF23eLIwIt04hjwXyl1w-0AWk&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1p4cQe-PG6KpQJvryErRFbBiEu30eIKg1/view?usp=drive_link,En trámite,En trámite,Planificado,,65,,,,35,20,,,25,145,"$0,00","$13.450.351,85",,"$0,00",,"$6.399.834,35","$4.237.217,60","$0,00","$0,00","$4.022.559,00","$28.109.962,80"
Zona 2 (sur),Brandsen,3,35,EX-2025-34979238- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Arroyo en Barrio Las Acacias,Desde su desembocadura en el Río Samborombón Chico hasta Francisco Luna,"-35.110845, -58.289159","-35.097120, -58.272210","35°06'39.0""S 58°17'21.0""W","35°05'49.6""S 58°16'20.0""W",2500,Arroyo,https://www.google.com/maps/d/edit?mid=1Tpecgr0Jpsll7xn2GwhhM_7ffSjsZvQ&usp=sharing,https://www.google.com/maps/d/embed?mid=1Tpecgr0Jpsll7xn2GwhhM_7ffSjsZvQ&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1A61AUWuAYqcwV2zehqvDxnNGDDg6zZnF/view?usp=drive_link,En trámite,En trámite,Planificado,,85,,40,,10,,,,20,155,"$0,00","$17.588.921,65",,"$6.561.360,00",,"$1.828.524,10","$0,00","$0,00","$0,00","$3.218.047,20","$29.196.852,95"
Zona 2 (sur),La Plata,3,35,EX-2025-34979238- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Arroyo Rodríguez,Desde 167 a metros de C. 501 hasta 178 y 515,"-34.934688, -58.061932","-34.952169, -58.063071","34°56'04.9""S 58°03'43.0""W","34°57'07.8""S 58°03'47.1""W",2000,Arroyo,https://www.google.com/maps/d/edit?mid=1mxdHMBVHAopLi3WwH6vQZHf-t57wnao&usp=sharing,https://www.google.com/maps/d/embed?mid=1mxdHMBVHAopLi3WwH6vQZHf-t57wnao&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1doRrLnLuNNzFCFHT8ank4dYgwR2HPHh9/view?usp=drive_link,En trámite,En trámite,Planificado,,60,,50,,,30,,,30,170,"$0,00","$12.415.709,40",,"$8.201.700,00",,"$0,00","$6.355.826,40","$0,00","$0,00","$4.827.070,80","$31.800.306,60"
Zona 2 (sur),La Plata,3,35,EX-2025-34979238- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Nacientes del Arroyo El Gato,"Desde 44 entre 189 y 190, inicialmente paralelo por 44, luego paralelo por RPN 36 y finalmente por 52, terminando en calle 200; y el tramo paralelo a C. 47 dende RPN36 hasta 197","-34.988313, -58.040274","-35.000346, -58.041414","34°59'17.9""S 58°02'25.0""W","35°00'01.3""S 58°02'29.1""W",2580,Zanja / Zanjón,https://www.google.com/maps/d/edit?mid=1eiYcOwcwVQ-adR-biTpw_nF8qLcjmMI&usp=sharing,https://www.google.com/maps/d/embed?mid=1eiYcOwcwVQ-adR-biTpw_nF8qLcjmMI&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1W1sHjebi-OCV3JXMQNElO2rKeoK-84lc/view?usp=drive_link,En trámite,En trámite,Planificado,,20,,20,,50,,,,40,130,"$0,00","$4.138.569,80",,"$3.280.680,00",,"$9.142.620,50","$0,00","$0,00","$0,00","$6.436.094,40","$22.997.964,70"
Zona 3,Chacabuco,1,25,EX-2025-23516076- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Canal Colector Av. Solis,Desde la descarga Cañada Los Peludos hasta la intersección de la Av. Solis y Montesano,"-34.677128, -60.416239","-34.650089, -60.450792","34°40'37.7""S 60°24'58.5""W","34°39'00.3""S 60°27'02.9""W",4800,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1HPObYCQLDJyS1eiZhgCJcocovnPfApE&usp=sharing,https://www.google.com/maps/d/embed?mid=1HPObYCQLDJyS1eiZhgCJcocovnPfApE&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1H_QnrE0Pc6cuTc9UOj-0cl1sI3caw9j2/view?usp=drive_link,24/7/2025,19/8/2025,Finalizado,250,,,,,,,,,250,500,"$42.097.137,50","$0,00",,,"$0,00",,,"$0,00","$0,00","$30.540.222,50","$72.637.360,00"
Zona 3,9 de Julio,2,30,EX-2025-27314087- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Colector desagües localidad La Niña,Desde la salida de la localidad hacia agua abajo,"-35.402575, -61.198056","-35.391881, -61.155392","35°24'09.3""S 61°11'53.0""W","35°23'30.8""S 61°09'19.4""W",4200,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1lVB4kjSnwK9o2T8sCmK-ZBd_Redzwx4&usp=sharing,https://www.google.com/maps/d/embed?mid=1lVB4kjSnwK9o2T8sCmK-ZBd_Redzwx4&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1ymaxUYnhEOus8tK1Cl3OQNReENnT9Lf0/view?usp=drive_link,11/9/2025,10/10/2025,Finalizado,50,150,,,40,,,,,40,280,"$8.419.427,50","$24.361.425,00",,,"$4.502.715,20",,,"$0,00","$0,00","$4.886.435,60","$42.170.003,30"
Zona 3,9 de Julio,2,30,EX-2025-27314087- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Canal El Gato,Desde Alcantarilla cruce a propiedad Zappa hasta el predio en la Estancia Vista Alegre,"-35.409611, -60.662578","-35.438639, -60.682083","35°24'34.6""S 60°39'45.3""W","35°26'19.1""S 60°40'55.5""W",4450,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1UQ77bgtzun-P71f2ax8s2e3g1tWU9l0&usp=sharing,https://www.google.com/maps/d/embed?mid=1UQ77bgtzun-P71f2ax8s2e3g1tWU9l0&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1kALUfiHGSrsSQMjsIzIfNwsza1-BcjrZ/view?usp=drive_link,11/9/2025,10/10/2025,Finalizado,50,150,,,40,,,,,40,280,"$8.419.427,50","$24.361.425,00",,,"$4.502.715,20",,,"$0,00","$0,00","$4.886.435,60","$42.170.003,30"
Zona 3,9 de Julio,2,30,EX-2025-27314087- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Canal 12 de Octubre - La Sofia,Desde Estación Bacacay hacia aguas arriba,"-35.649667, -61.021161","-35.654956, -61.036081","35°38'58.8""S 61°01'16.2""W","35°39'17.8""S 61°02'09.9""W",1500,Canal sin revestir,https://www.google.com/maps/d/edit?mid=1Hd35EWmhDSGMwDUhZqd2h4XUv5zy_xA&usp=sharing,https://www.google.com/maps/d/embed?mid=1Hd35EWmhDSGMwDUhZqd2h4XUv5zy_xA&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1F4meEIoAQp5Rm5nfe-0lUElBLCUducG7/view?usp=drive_link,11/9/2025,10/10/2025,Finalizado,,100,,,,,,50,80,,230,"$0,00","$16.240.950,00",,,"$0,00",,,"$8.421.421,00","$11.581.159,20","$0,00","$36.243.530,20"
Zona 3,Chacabuco,3,40,EX-2025-33760678- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Canales existentes en inmediaciones de la localidad de Cucha Cucha,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=1qI8-Ru72lHpdPlcijl5a0aujLS8WnB8&usp=sharing,https://www.google.com/maps/d/embed?mid=1qI8-Ru72lHpdPlcijl5a0aujLS8WnB8&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1fLrBQCwbfjDwwkiheoNb5sVPv4ESzv6y/view?usp=drive_link,10/10/2025,19/11/2025,En ejecución,30,190,,,24,,,10,24,34,312,"$5.051.656,50","$30.857.805,00",,,"$2.701.629,12",,,"$1.684.284,20","$3.474.347,76","$4.153.470,26","$47.923.192,84"
Zona 3,Bragado,3,40,EX-2025-33760678- -GDEBA-DPTLMIYSPGP,Olivo Zamboano S.A.,Canal de descarga Santa Marta,a definir,a definir,a definir,a definir,a definir,a definir,Otro,https://www.google.com/maps/d/edit?mid=198ciLC8mACZPvYzrxsUDDrLYLflo3jw&usp=sharing,https://www.google.com/maps/d/embed?mid=198ciLC8mACZPvYzrxsUDDrLYLflo3jw&ehbc=2E312F&noprof=1,https://drive.google.com/file/d/1MSL-TO_hnHmiUk1NbKTOcD-8Ioxmvp5B/view?usp=drive_link,10/10/2025,19/11/2025,En ejecución,30,190,,,24,,,10,24,34,312,"$5.051.656,50","$30.857.805,00",,,"$2.701.629,12",,,"$1.684.284,20","$3.474.347,76","$4.153.470,26","$47.923.192,84"
